date,last_available_confirmed,last_available_deaths,new_confirmed,new_deaths,mean_confirmed,mean_deaths,pct_change_confirmed,pct_change_deaths
2021-01-12,124276,2595,440,10,1071.0,10.142857142857142,0.2957137919115105,0.47916666666666674
2021-01-13,124942,2607,666,12,1017.7142857142857,10.714285714285714,0.1751897063675354,0.5306122448979591
2021-01-14,126204,2617,1262,10,1022.7142857142857,10.428571428571429,0.2763415938669993,0.45999999999999996
2021-01-15,127349,2629,1145,12,1012.4285714285714,10.714285714285714,0.21707023870856945,0.47058823529411753
2021-01-16,127715,2640,366,11,927.5714285714286,11.0,0.12921739130434773,0.4807692307692306
2021-01-17,128395,2652,680,12,828.7142857142857,11.142857142857142,0.010275165447579226,0.4444444444444444
2021-01-18,128854,2662,459,10,716.8571428571429,11.0,-0.10949423247559886,0.40000000000000013
2021-01-19,129505,2674,651,12,747.0,11.285714285714286,-0.12485355648535568,0.4107142857142858
2021-01-20,130286,2685,781,11,763.4285714285714,11.142857142857142,-0.12148610882788091,0.3928571428571428
2021-01-21,131023,2697,737,12,688.4285714285714,11.428571428571429,-0.26314984709480127,0.3333333333333335
2021-01-22,131835,2710,812,13,640.8571428571429,11.571428571428571,-0.33224173861268225,0.30645161290322576
2021-01-23,132337,2719,502,9,660.2857142857143,11.285714285714286,-0.3673692855187517,0.25396825396825395
2021-01-24,132829,2727,492,8,633.4285714285714,10.714285714285714,-0.4393728663547857,0.13636363636363624
2021-01-25,133655,2736,826,9,685.8571428571429,10.571428571428571,-0.41451219512195114,0.0724637681159419
2021-01-26,134003,2746,348,10,642.5714285714286,10.285714285714286,-0.4000266773376018,0.014084507042253724
2021-01-27,134556,2755,553,9,610.0,10.0,-0.40061763054463784,-0.06666666666666665
2021-01-28,135385,2760,829,5,623.1428571428571,9.0,-0.3906970247241235,-0.136986301369863
2021-01-29,136280,2766,895,6,635.0,8.0,-0.37279525892479193,-0.2533333333333333
2021-01-30,136799,2773,519,7,637.4285714285714,7.714285714285714,-0.3127983982750654,-0.2987012987012987
2021-01-31,137417,2778,618,5,655.4285714285714,7.285714285714286,-0.20910187898638155,-0.34615384615384615
2021-02-01,138187,2786,770,8,647.4285714285714,7.142857142857143,-0.09685133519330413,-0.35064935064935066
2021-02-02,138611,2794,424,8,658.2857142857143,6.857142857142857,-0.11876075731497415,-0.39240506329113933
2021-02-03,139223,2801,612,7,666.7142857142857,6.571428571428571,-0.12668413173652704,-0.41025641025641024
2021-02-04,139611,2809,388,8,603.7142857142857,7.0,-0.1230545756380993,-0.38750000000000007
2021-02-05,140005,2818,394,9,532.1428571428571,7.428571428571429,-0.16963887650468135,-0.3580246913580246
2021-02-06,140272,2826,267,8,496.14285714285717,7.571428571428571,-0.24859368238857638,-0.329113924050633
2021-02-07,140623,2827,351,1,458.0,7.0,-0.27695083446098334,-0.34666666666666657
2021-02-08,141464,2834,841,7,468.14285714285717,6.857142857142857,-0.31743386794417827,-0.3513513513513514
2021-02-09,142073,2842,609,8,494.57142857142856,6.857142857142857,-0.23032458870609163,-0.33333333333333337
2021-02-10,142901,2849,828,7,525.4285714285714,6.857142857142857,-0.1386416861826698,-0.3142857142857143
2021-02-11,143400,2855,499,6,541.2857142857143,6.571428571428571,-0.13136176066024752,-0.2698412698412699
2021-02-12,143837,2861,437,6,547.4285714285714,6.142857142857143,-0.13790776152980877,-0.2321428571428571
2021-02-13,144493,2869,656,8,603.0,6.142857142857143,-0.05401165396683105,-0.20370370370370372
2021-02-14,145029,2876,536,7,629.4285714285714,7.0,-0.03966870095902353,-0.039215686274509776
2021-02-15,145677,2881,648,5,601.8571428571429,6.714285714285714,-0.07038834951456308,-0.06000000000000005
2021-02-16,146094,2886,417,5,574.4285714285714,6.285714285714286,-0.1273871527777778,-0.08333333333333326
2021-02-17,146558,2893,464,7,522.4285714285714,6.285714285714286,-0.21641311334904645,-0.04347826086956519
2021-02-18,146837,2896,279,3,491.0,5.857142857142857,-0.1867013724562233,-0.16326530612244905
2021-02-19,147266,2901,429,5,489.85714285714283,5.714285714285714,-0.07946308724832218,-0.23076923076923073
2021-02-20,147599,2906,333,5,443.7142857142857,5.285714285714286,-0.1056723293982148,-0.30188679245283023
2021-02-21,148026,2909,427,3,428.14285714285717,4.714285714285714,-0.06519026824703678,-0.326530612244898
2021-02-22,148372,2914,346,5,385.0,4.714285714285714,-0.17760146475434857,-0.3124999999999999
2021-02-23,148627,2921,255,7,361.85714285714283,5.0,-0.26834199884459853,-0.27083333333333326
2021-02-24,149077,2930,450,9,359.85714285714283,5.285714285714286,-0.3151169113648723,-0.22916666666666663
2021-02-25,149637,2940,560,10,400.0,6.285714285714286,-0.26101873845341783,-0.04347826086956519
